R_scenario,experiment,flags,forecast_mode,forecast_origin,horizon,source,status,target_timestamp
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-09T23:44:00+00:00,6h,,valid,2024-06-10T05:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T00:44:00+00:00,1h,,valid,2024-06-10T01:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T00:44:00+00:00,3h,,valid,2024-06-10T03:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T00:44:00+00:00,6h,,valid,2024-06-10T06:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T01:44:00+00:00,1h,,valid,2024-06-10T02:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T01:44:00+00:00,3h,,valid,2024-06-10T04:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T01:44:00+00:00,6h,,valid,2024-06-10T07:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T02:44:00+00:00,1h,,valid,2024-06-10T03:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T02:44:00+00:00,3h,,valid,2024-06-10T05:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T02:44:00+00:00,6h,,valid,2024-06-10T08:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T03:44:00+00:00,1h,,valid,2024-06-10T04:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T03:44:00+00:00,3h,,valid,2024-06-10T06:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T03:44:00+00:00,6h,,valid,2024-06-10T09:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T04:44:00+00:00,1h,,valid,2024-06-10T05:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T04:44:00+00:00,3h,,valid,2024-06-10T07:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T04:44:00+00:00,6h,,valid,2024-06-10T10:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T05:44:00+00:00,1h,,valid,2024-06-10T06:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T05:44:00+00:00,3h,,valid,2024-06-10T08:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T05:44:00+00:00,6h,,valid,2024-06-10T11:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T06:44:00+00:00,1h,,valid,2024-06-10T07:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T06:44:00+00:00,3h,,valid,2024-06-10T09:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T06:44:00+00:00,6h,,valid,2024-06-10T12:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T07:44:00+00:00,1h,,valid,2024-06-10T08:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T07:44:00+00:00,3h,,valid,2024-06-10T10:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T07:44:00+00:00,6h,,valid,2024-06-10T13:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T08:44:00+00:00,1h,,valid,2024-06-10T09:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T08:44:00+00:00,3h,,valid,2024-06-10T11:44:00+00:00
