Q_selected,R_scenario,absolute_error,covered_by_95_interval,error,event_knowledge_status,exclusion_reason,experiment,filtered_posterior_at_origin,forecast_mean,forecast_mode,forecast_origin,forecast_variance,horizon,lower_interval,observed_value,origin_phase,target_phase,target_timestamp,test_cycle,training_cycle,upper_interval,valid_status,validity_flags,validity_status
250.0,R_low,9.417,True,9.417,current_phase_transition,,Experiment A,11.918,27.417,F1_no_future_event_knowledge,2024-06-09T22:44:00+00:00,1401.361,6h,-45.955,18.0,baseline,baseline,2024-06-10T04:44:00+00:00,Cycle 2,Cycle 1,100.789,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,2.311,True,2.311,current_phase_transition,,Experiment A,17.715,20.311,F1_no_future_event_knowledge,2024-06-09T23:44:00+00:00,272.148,1h,-12.023,18.0,baseline,baseline,2024-06-10T00:44:00+00:00,Cycle 2,Cycle 1,52.645,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,7.375,True,7.375,current_phase_transition,,Experiment A,17.715,25.375,F1_no_future_event_knowledge,2024-06-09T23:44:00+00:00,746.468,3h,-28.175,18.0,baseline,baseline,2024-06-10T02:44:00+00:00,Cycle 2,Cycle 1,78.926,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,13.664,True,13.664,current_phase_transition,,Experiment A,17.715,32.664,F1_no_future_event_knowledge,2024-06-09T23:44:00+00:00,1401.361,6h,-40.709,19.0,baseline,baseline,2024-06-10T05:44:00+00:00,Cycle 2,Cycle 1,106.036,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,13.783,True,13.783,current_phase_transition,,Experiment A,18.194,20.783,F1_no_future_event_knowledge,2024-06-10T00:44:00+00:00,272.148,1h,-11.551,7.0,baseline,baseline,2024-06-10T01:44:00+00:00,Cycle 2,Cycle 1,53.117,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,9.832,True,9.832,current_phase_transition,,Experiment A,18.194,25.832,F1_no_future_event_knowledge,2024-06-10T00:44:00+00:00,746.468,3h,-27.719,16.0,baseline,baseline,2024-06-10T03:44:00+00:00,Cycle 2,Cycle 1,79.382,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,17.098,True,17.098,current_phase_transition,,Experiment A,18.194,33.098,F1_no_future_event_knowledge,2024-06-10T00:44:00+00:00,1401.361,6h,-40.274,16.0,baseline,baseline,2024-06-10T06:44:00+00:00,Cycle 2,Cycle 1,106.47,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,7.087,True,-7.087,current_phase_transition,,Experiment A,8.16,10.913,F1_no_future_event_knowledge,2024-06-10T01:44:00+00:00,272.148,1h,-21.421,18.0,baseline,baseline,2024-06-10T02:44:00+00:00,Cycle 2,Cycle 1,43.247,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,1.715,True,-1.715,current_phase_transition,,Experiment A,8.16,16.285,F1_no_future_event_knowledge,2024-06-10T01:44:00+00:00,746.468,3h,-37.265,18.0,baseline,baseline,2024-06-10T04:44:00+00:00,Cycle 2,Cycle 1,69.835,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,5.985,True,-5.985,current_phase_transition,,Experiment A,8.16,24.015,F1_no_future_event_knowledge,2024-06-10T01:44:00+00:00,1401.361,6h,-49.357,30.0,baseline,baseline,2024-06-10T07:44:00+00:00,Cycle 2,Cycle 1,97.387,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,4.005,True,4.005,current_phase_transition,,Experiment A,17.404,20.005,F1_no_future_event_knowledge,2024-06-10T02:44:00+00:00,272.148,1h,-12.329,16.0,baseline,baseline,2024-06-10T03:44:00+00:00,Cycle 2,Cycle 1,52.339,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,6.08,True,6.08,current_phase_transition,,Experiment A,17.404,25.08,F1_no_future_event_knowledge,2024-06-10T02:44:00+00:00,746.468,3h,-28.471,19.0,baseline,baseline,2024-06-10T05:44:00+00:00,Cycle 2,Cycle 1,78.63,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,4.618,True,-4.618,current_phase_transition,,Experiment A,17.404,32.382,F1_no_future_event_knowledge,2024-06-10T02:44:00+00:00,1401.361,6h,-40.99,37.0,baseline,baseline,2024-06-10T08:44:00+00:00,Cycle 2,Cycle 1,105.754,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,0.956,True,0.956,current_phase_transition,,Experiment A,16.337,18.956,F1_no_future_event_knowledge,2024-06-10T03:44:00+00:00,272.148,1h,-13.378,18.0,baseline,baseline,2024-06-10T04:44:00+00:00,Cycle 2,Cycle 1,51.29,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,8.065,True,8.065,current_phase_transition,,Experiment A,16.337,24.065,F1_no_future_event_knowledge,2024-06-10T03:44:00+00:00,746.468,3h,-29.486,16.0,baseline,baseline,2024-06-10T06:44:00+00:00,Cycle 2,Cycle 1,77.615,valid,PROVISIONAL_EVENT_BOUNDARY,valid
250.0,R_low,9.584,True,-9.584,current_phase_transition,,Experiment A,16.337,31.416,F1_no_future_event_knowledge,2024-06-10T03:44:00+00:00,1401.361,6h,-41.956,41.0,baseline,accumulation,2024-06-10T09:44:00+00:00,Cycle 2,Cycle 1,104.789,valid,PROVISIONAL_EVENT_BOUNDARY,valid
