inspection_period,phase_start,phase_end,concentration_level_distribution,dynamic_state_distribution,episode_type,start_radon,end_radon,min_radon,max_radon,robust_slope,local_variability,confidence,reason_codes
2024-06-07 to 2024-06-14,2024-06-11T22:44:00+00:00,2024-06-11T22:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,203.0,203.0,203.0,203.0,N/A,11.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_POSITIVE"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-11T23:44:00+00:00,2024-06-12T04:44:00+00:00,"{""HIGH"": {""count"": 6, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 6, ""percent"": 100.0}}",UNSTABLE_TRANSITION,221.0,212.0,201.0,223.0,-1.8,15.333,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES"", ""HIGH_LOCAL_VARIABILITY""]"
2024-06-07 to 2024-06-14,2024-06-12T05:44:00+00:00,2024-06-12T05:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,199.0,199.0,199.0,199.0,N/A,9.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SLOPE_NEAR_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-12T06:44:00+00:00,2024-06-12T08:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,210.0,181.0,164.0,210.0,N/A,4.0,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-12T09:44:00+00:00,2024-06-12T16:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 12.5}, ""HIGH"": {""count"": 7, ""percent"": 87.5}}","{""UNSTABLE_TRANSITION"": {""count"": 8, ""percent"": 100.0}}",UNSTABLE_TRANSITION,255.0,205.0,137.0,255.0,-7.143,16.75,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""REPEATED_SIGN_CHANGES"", ""HIGH_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
2024-06-07 to 2024-06-14,2024-06-12T17:44:00+00:00,2024-06-12T17:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_ELEVATED,168.0,168.0,168.0,168.0,N/A,9.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-12T18:44:00+00:00,2024-06-12T18:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,183.0,183.0,183.0,183.0,N/A,15.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""STRONG_PERSISTENT_TREND""]"
2024-06-07 to 2024-06-14,2024-06-12T19:44:00+00:00,2024-06-13T00:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 16.67}, ""HIGH"": {""count"": 5, ""percent"": 83.33}}","{""UNSTABLE_TRANSITION"": {""count"": 6, ""percent"": 100.0}}",UNSTABLE_TRANSITION,185.0,219.0,185.0,242.0,6.8,18.167,HIGH,"[""SUFFICIENT_WINDOW"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES""]"
2024-06-07 to 2024-06-14,2024-06-13T01:44:00+00:00,2024-06-13T03:44:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""RISING"": {""count"": 3, ""percent"": 100.0}}",ACCUMULATION,251.0,214.0,214.0,277.0,-18.5,13.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW"", ""SHORT_SLOPE_POSITIVE"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-06-07 to 2024-06-14,2024-06-13T04:44:00+00:00,2024-06-13T09:44:00+00:00,"{""HIGH"": {""count"": 4, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 4, ""percent"": 100.0}}",UNSTABLE_TRANSITION,208.0,258.0,208.0,258.0,10.667,16.5,HIGH,"[""SUFFICIENT_WINDOW"", ""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT""]"
