record_no,datetime,radon_bq_m3
122,2024-05-22 05:47:00,7
123,2024-05-22 06:47:00,2
124,2024-05-22 07:47:00,5
125,2024-05-22 08:47:00,14
126,2024-05-22 09:47:00,11
127,2024-05-22 10:47:00,16
128,2024-05-22 11:47:00,9
129,2024-05-22 12:47:00,14
130,2024-05-22 13:47:00,5
131,2024-05-22 14:47:00,5
132,2024-05-22 15:47:00,11
133,2024-05-22 16:47:00,5
134,2024-05-22 17:47:00,2
135,2024-05-22 18:47:00,2
136,2024-05-22 19:47:00,9
137,2024-05-22 20:47:00,11
138,2024-05-22 21:47:00,26
139,2024-05-22 22:47:00,5
140,2024-05-22 23:47:00,5
141,2024-05-23 00:47:00,9
142,2024-05-23 01:47:00,7
143,2024-05-23 02:47:00,7
144,2024-05-23 03:47:00,16
145,2024-05-23 04:47:00,21
146,2024-05-23 05:47:00,19
147,2024-05-23 06:47:00,19
148,2024-05-23 07:47:00,14
149,2024-05-23 08:47:00,18
150,2024-05-23 09:47:00,11
151,2024-05-23 10:47:00,23
152,2024-05-23 11:47:00,14
153,2024-05-23 12:47:00,21
154,2024-05-23 13:47:00,11
155,2024-05-23 14:47:00,5
156,2024-05-23 15:47:00,11
157,2024-05-23 16:47:00,7
158,2024-05-23 17:47:00,9
159,2024-05-23 18:47:00,7
160,2024-05-23 19:47:00,11
161,2024-05-23 20:47:00,9
162,2024-05-23 21:47:00,9
163,2024-05-23 22:47:00,11
164,2024-05-23 23:47:00,5
165,2024-05-24 00:47:00,11
166,2024-05-24 01:47:00,11
167,2024-05-24 02:47:00,19
168,2024-05-24 03:47:00,11
169,2024-05-24 04:47:00,9
170,2024-05-24 05:47:00,7
171,2024-05-24 06:47:00,14
172,2024-05-24 07:47:00,9
173,2024-05-24 08:47:00,21
174,2024-05-24 09:47:00,18
175,2024-05-24 10:47:00,16
176,2024-05-24 11:47:00,18
177,2024-05-24 12:47:00,28
178,2024-05-24 13:47:00,14
179,2024-05-24 14:47:00,11
180,2024-05-24 15:47:00,11
181,2024-05-24 16:47:00,7
182,2024-05-24 17:47:00,2
183,2024-05-24 18:47:00,9
184,2024-05-24 19:47:00,25
185,2024-05-24 20:47:00,9
186,2024-05-24 21:47:00,0
187,2024-05-24 22:47:00,11
188,2024-05-24 23:47:00,5
189,2024-05-25 00:47:00,7
190,2024-05-25 01:47:00,14
191,2024-05-25 02:47:00,14
192,2024-05-25 03:47:00,11
193,2024-05-25 04:47:00,18
194,2024-05-25 05:47:00,16
195,2024-05-25 06:47:00,14
196,2024-05-25 07:47:00,11
197,2024-05-25 08:47:00,14
198,2024-05-25 09:47:00,47
199,2024-05-25 10:47:00,74
200,2024-05-25 11:47:00,64
201,2024-05-25 12:47:00,90
202,2024-05-25 13:47:00,76
203,2024-05-25 14:47:00,105
204,2024-05-25 15:47:00,74
205,2024-05-25 16:47:00,87
206,2024-05-25 17:47:00,89
207,2024-05-25 18:47:00,110
208,2024-05-25 19:47:00,99
209,2024-05-25 20:47:00,119
210,2024-05-25 21:47:00,128
211,2024-05-25 22:47:00,137
212,2024-05-25 23:47:00,114
213,2024-05-26 00:47:00,108
214,2024-05-26 01:47:00,144
215,2024-05-26 02:47:00,177
216,2024-05-26 03:47:00,146
217,2024-05-26 04:47:00,159
218,2024-05-26 05:47:00,191
219,2024-05-26 06:47:00,183
220,2024-05-26 07:47:00,166
221,2024-05-26 08:47:00,179
222,2024-05-26 09:47:00,185
223,2024-05-26 10:47:00,190
224,2024-05-26 11:47:00,170
225,2024-05-26 12:47:00,161
226,2024-05-26 13:47:00,154
227,2024-05-26 14:47:00,188
228,2024-05-26 15:47:00,164
229,2024-05-26 16:47:00,205
230,2024-05-26 17:47:00,183
231,2024-05-26 18:47:00,161
232,2024-05-26 19:47:00,170
233,2024-05-26 20:47:00,203
234,2024-05-26 21:47:00,139
235,2024-05-26 22:47:00,159
236,2024-05-26 23:47:00,174
237,2024-05-27 00:47:00,163
238,2024-05-27 01:47:00,196
239,2024-05-27 02:47:00,177
240,2024-05-27 03:47:00,236
241,2024-05-27 04:47:00,185
242,2024-05-27 05:47:00,201
243,2024-05-27 06:47:00,223
244,2024-05-27 07:47:00,218
245,2024-05-27 08:47:00,223
246,2024-05-27 09:47:00,223
247,2024-05-27 10:47:00,199
248,2024-05-27 11:47:00,210
249,2024-05-27 12:47:00,207
250,2024-05-27 13:47:00,214
251,2024-05-27 14:47:00,225
252,2024-05-27 15:47:00,207
253,2024-05-27 16:47:00,203
254,2024-05-27 17:47:00,190
255,2024-05-27 18:47:00,207
256,2024-05-27 19:47:00,225
257,2024-05-27 20:47:00,196
258,2024-05-27 21:47:00,205
259,2024-05-27 22:47:00,221
260,2024-05-27 23:47:00,227
261,2024-05-28 00:47:00,245
